codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint;zona_prossimita;area_statistica
680010;552;SANT`AGATA BOLOGNESE;VIA MODENA;SANT`AGATA BOLOGNESE;553;N/A;44.660531, 11.123331;Fuori Bologna;Fuori Bologna
681003;;ANITA;VIA FOSSA DEI SOCIALISTI 3;ANITA;635;N/A;44.56623, 12.075517;Fuori Bologna;Fuori Bologna
684004;334;AZIENDA AGRICOLA S. ALBER;VIA ROMEA NORD;RAVENNA;707;N/A;44.571097, 12.253223;Fuori Bologna;Fuori Bologna
684006;334;BIVIO CASCINA;VIA ROMEA NORD;RAVENNA;707;N/A;44.562239, 12.249078;Fuori Bologna;Fuori Bologna
684006;333;BIVIO CASCINA;VIA ROMEA NORD;RAVENNA;707;N/A;44.562239, 12.249078;Fuori Bologna;Fuori Bologna
684014;333;RAVENNA AUTOSTAZIONE - P.;VIA DARSENA;RAVENNA;700;N/A;44.41749, 12.209603;Fuori Bologna;Fuori Bologna
684016;333;RAVENNA MAUSOLEO DI TEODO;VIA DELLE INDUSTRIE;RAVENNA;700;N/A;44.424363, 12.210407;Fuori Bologna;Fuori Bologna
684019;333;BIVIO LE BASSETTE;S. S. Romea;RAVENNA;700;N/A;44.447761, 12.209427;Fuori Bologna;Fuori Bologna
684019;334;BIVIO LE BASSETTE;S. S. Romea;RAVENNA;700;N/A;44.447761, 12.209427;Fuori Bologna;Fuori Bologna
684021;334;VIALE G. DI VITTORIO BASS;VIA GIUSEPPE DI VITTORIO 14;RAVENNA;700;N/A;44.449018, 12.217238;Fuori Bologna;Fuori Bologna
684021;333;VIALE G. DI VITTORIO BASS;VIA GIUSEPPE DI VITTORIO 14;RAVENNA;700;N/A;44.449018, 12.217238;Fuori Bologna;Fuori Bologna
690002;621;COPPARO - USL [002];VIALE CARDUCCI 54;COPPARO;612;N/A;44.892461, 11.821947;Fuori Bologna;Fuori Bologna
690006;632;COMACCHIO OSPEDALE SAN CA;VIA FELLETTI N.63;COMACCHIO;627;N/A;44.695216, 12.189281;Fuori Bologna;Fuori Bologna
690010;;COMACCHIO MUNICIPIO [010];VIA FOLEGATTI 30;COMACCHIO;627;N/A;44.694528, 12.183614;Fuori Bologna;Fuori Bologna
690014;631;COMACCHIO P.ZZA TRENTO TR;P.ZZA TRENTO TRIESTE 4;COMACCHIO;627;N/A;44.69097, 12.190802;Fuori Bologna;Fuori Bologna
690020;;COMACCHIO CIMITERO [020];VIA DEL CAMPOSANTO N. 1;COMACCHIO;603;N/A;44.681183, 12.208509;Fuori Bologna;Fuori Bologna
690029;;PODERALE PALLOTTA [029];STRADA PODERALE PALLOTTA 13;COMACCHIO;627;N/A;44.707356, 12.149237;Fuori Bologna;Fuori Bologna
690031;632;VIALE BONNET CHIESA [031];VIALE BONNET N. 81;PORTO GARIBALDI;603;N/A;44.677363, 12.232851;Fuori Bologna;Fuori Bologna
690044;631;ALPI ORIENTALI [044];VIALE ALPI ORIENTALI N.67;LIDO DI POMPOSA;602;N/A;44.715983, 12.237604;Fuori Bologna;Fuori Bologna
690046;621;PROVINCIALE PER FORMIGNAN;PROVINCIALE PER FORMIGNANA 30;COPPARO;612;N/A;44.883062, 11.837973;Fuori Bologna;Fuori Bologna
690047;632;COMACCHIO IDROVORO GUAGNI;S.P. FERRARA MARE FR.N.5;COMACCHIO;603;N/A;44.68886, 12.211445;Fuori Bologna;Fuori Bologna
690048;;PALLOTTA CAVALCAVIA [048];STRADA PODERALE PALLOTTA FR 26;COMACCHIO;627;N/A;44.714409, 12.145188;Fuori Bologna;Fuori Bologna
690050;621;PROVINCIALE PER FORMIGNAN;PROVINCIALE PER FORMIGNANA;COPPARO;612;N/A;44.877559, 11.839526;Fuori Bologna;Fuori Bologna
690060;332;VIALE FRANCIA 47 [060];VIALE FRANCIA CIV. 47;LIDO DELLE NAZIONI;601;N/A;44.747252, 12.242509;Fuori Bologna;Fuori Bologna
690060;331;VIALE FRANCIA 47 [060];VIALE FRANCIA CIV. 47;LIDO DELLE NAZIONI;601;N/A;44.747252, 12.242509;Fuori Bologna;Fuori Bologna
690060;631;VIALE FRANCIA 47 [060];VIALE FRANCIA CIV. 47;LIDO DELLE NAZIONI;601;N/A;44.747252, 12.242509;Fuori Bologna;Fuori Bologna
690060;334;VIALE FRANCIA 47 [060];VIALE FRANCIA CIV. 47;LIDO DELLE NAZIONI;601;N/A;44.747252, 12.242509;Fuori Bologna;Fuori Bologna
690072;333;RENATA DI FRANCIA [072];VIA RENATA DI FRANCIA N. 60;LIDO DEGLI ESTENSI;604;N/A;44.663923, 12.232822;Fuori Bologna;Fuori Bologna
690086;621;VIA CHIESA [086];VIA CHIESA;COPPARO;621;N/A;44.8395, 11.812931;Fuori Bologna;Fuori Bologna
690090;621;ARGINE VOLANO 40 [090];VIA ARGINE VOLANO 38/40;COPPARO;621;N/A;44.837623, 11.82076;Fuori Bologna;Fuori Bologna
690091;;MAZZOCCA 14 [091];VIA MAZZOCCA 14;COPPARO;621;N/A;44.844314, 11.829033;Fuori Bologna;Fuori Bologna
690093;;RAFFAELLO SANZIO 290 [093;VIA RAFFAELLO SANZIO CIV. 290;LIDO DI SPINA;604;N/A;44.645008, 12.24525;Fuori Bologna;Fuori Bologna
690112;621;RICCI 84 [112];VIA RICCI 84;COPPARO;612;N/A;44.896285, 11.824933;Fuori Bologna;Fuori Bologna
690116;;STRADA PODERALE CAPUCCINI;STRADA PODERALE CAPUCCINI FR 14;COMACCHIO;627;N/A;44.718304, 12.166131;Fuori Bologna;Fuori Bologna
690130;634;OSPEDALE DEL DELTA [130];VALLE OPPIO OSPEDALE CIV. 2;LAGOSANTO;628;N/A;44.775974, 12.121308;Fuori Bologna;Fuori Bologna
690130;633;OSPEDALE DEL DELTA [130];VALLE OPPIO OSPEDALE CIV. 2;LAGOSANTO;628;N/A;44.775974, 12.121308;Fuori Bologna;Fuori Bologna
690131;633;VALLE OPPIO [131];Via Valle Oppio fr. n.5;LAGOSANTO;628;N/A;44.767353, 12.132684;Fuori Bologna;Fuori Bologna
690131;630;VALLE OPPIO [131];Via Valle Oppio fr. n.5;LAGOSANTO;628;N/A;44.767353, 12.132684;Fuori Bologna;Fuori Bologna
690131;634;VALLE OPPIO [131];Via Valle Oppio fr. n.5;LAGOSANTO;628;N/A;44.767353, 12.132684;Fuori Bologna;Fuori Bologna
690132;326;VIA DEL MARE [132];VIA DEL MARE 36;LAGOSANTO;628;N/A;44.764583, 12.145979;Fuori Bologna;Fuori Bologna
690134;;STRADA PODERALE PALLOTTA;STRADA PODERALE PALLOTTA 15;COMACCHIO;627;N/A;44.710539, 12.147428;Fuori Bologna;Fuori Bologna
690143;633;CODIGORO STAZIONE [143];VIA ROSSINI 5;CODIGORO;617;N/A;44.835938, 12.102786;Fuori Bologna;Fuori Bologna
690147;633;VIA MASCAGNI 13 [147];VIA MASCAGNI 13;CODIGORO;617;N/A;44.837458, 12.109434;Fuori Bologna;Fuori Bologna
690151;633;CODIGORO CIMITERO [151];INTERNA AL PARCHEGGIO DEL CIMITERO;CODIGORO;617;N/A;44.833245, 12.111421;Fuori Bologna;Fuori Bologna
690153;637;VIA POMPOSA 54 [153];VIA POMPOSA 54;CODIGORO;617;N/A;44.831267, 12.10967;Fuori Bologna;Fuori Bologna
690154;636;VIALE RESISTENZA COOP [15;VIALE RESISTENZA;CODIGORO;617;N/A;44.829886, 12.113783;Fuori Bologna;Fuori Bologna
690156;622;PROVINCIALE PER CESTA - V;VIA BOTTONI 52;COPPARO;612;N/A;44.910347, 11.853847;Fuori Bologna;Fuori Bologna
690158;636;RIVIERA CAVALLOTTI PALAZZ;VIA RIVIERA CAVALLOTTI;CODIGORO;617;N/A;44.829343, 12.108289;Fuori Bologna;Fuori Bologna
690160;;CAPITELLO [160];VIA LENIN;CODIGORO;617;N/A;44.816531, 12.118249;Fuori Bologna;Fuori Bologna
690173;;BONFIENI OFFICINA [173];VIA BONFIENI 26;AMBROGIO;612;N/A;44.907807, 11.912004;Fuori Bologna;Fuori Bologna
690177;;VIA CAPOZZA [177];VIA CAPOZZA FR. 25/A;COPPARO;612;N/A;44.902918, 11.908147;Fuori Bologna;Fuori Bologna
690184;;GNANI CA` ROSSA [184];VIA GNANI 127;AMBROGIO;612;N/A;44.914747, 11.915193;Fuori Bologna;Fuori Bologna
690189;;VIA ALTA - TENUTA ZENZALI;VIA ALTA 129;COPPARO;612;N/A;44.8863, 11.891494;Fuori Bologna;Fuori Bologna
690199;;FORPLAST - AVICOLA ARTIGI;VIA PROVINCIALE FR 76;FORMIGNANA;621;N/A;44.844206, 11.844237;Fuori Bologna;Fuori Bologna
