Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
LONGO,2,0.001597444089456869,0.00014170567171610076,0.005157535313602153,2
LONGO,2,0.001597444089456869,0.00014252562783977253,0.0032229807208546263,2
BELLARIA LOMBARDIA,2,0.001597444089456869,0.00014676503643699837,0.002813084995262576,2
GARGANELLI,2,0.001597444089456869,0.0001865970984563799,0.002693053225151508,2
BELLARIA LOMBARDIA,2,0.001597444089456869,0.00015046403212959513,0.004128326731585977,2
CENTRO CIVICO MAZZINI,2,0.001597444089456869,0.00014464206534760529,0.0026892224239777507,2
CENTRO CIVICO MAZZINI,2,0.001597444089456869,0.0001403268679247379,0.0016357521011944437,2
GENOVA,2,0.001597444089456869,0.0001385367758797517,0.0016983218536991494,2
GENOVA,2,0.001597444089456869,0.00013844111986622743,0.001296087730454614,2
PIAZZA GALVANI,2,0.001597444089456869,0.00019146419865914176,0.005944126487947022,2
ADIGE,2,0.001597444089456869,0.00015675218116545953,0.0113698178837122,2
ADIGE,2,0.001597444089456869,0.00016017336456412056,0.0198205652730212,2
VENEZIA GIULIA,2,0.001597444089456869,0.0001543993569477891,0.010696873810855469,2
VENEZIA GIULIA,2,0.001597444089456869,0.00015666942410474895,0.01875943334789038,2
FAENZA,2,0.001597444089456869,0.000142471911215199,0.00950932544699065,2
CENTRO GALLIA,2,0.001597444089456869,0.0001466742859116642,0.015823762715067562,2
ARNO,2,0.001597444089456869,0.00014180807705073832,0.009367585803561623,2
FAENZA,2,0.001597444089456869,0.00014281261644606536,0.016229827639485855,2
ARNO,2,0.001597444089456869,0.0001418645849449372,0.01616215015208281,2
TORLEONE,3,0.0023961661341853034,0.0002011619920491119,0.0635070218585515,2
BORGO,3,0.0023961661341853034,0.00019670747753990683,0.03944831355362994,2
OSPEDALE MALPIGHI,4,0.003194888178913738,0.00019301677582912768,0.05192650991028264,2
OSPEDALE MALPIGHI,2,0.001597444089456869,0.00018247589881495422,0.01741865293707526,2
PIZZARDI,3,0.0023961661341853034,0.0001884951375061098,0.024757191052270006,2
MENGOLI,2,0.001597444089456869,0.00017499274144041862,0.016210673633617067,2
MENGOLI,2,0.001597444089456869,0.00017879547324287882,0.019093989983731866,2
AZZURRA,4,0.003194888178913738,0.0001698401145544298,0.018732617739674075,2
AZZURRA,4,0.003194888178913738,0.00017343201061831978,0.021661903703873962,2
FOSSOLO,2,0.001597444089456869,0.00016277772004804386,0.011139969813286752,2
FOSSOLO,2,0.001597444089456869,0.0001654267700130467,0.013341403554472716,2
FELSINA,2,0.001597444089456869,0.00015682415448178784,0.010143961508109806,2
FELSINA,2,0.001597444089456869,0.0001580931618629059,0.012293040966587752,2
ALLENDE,4,0.003194888178913738,0.00015279939649061786,0.011104215668998349,2
ALLENDE,4,0.003194888178913738,0.00015287173002473774,0.013115386285221025,2
LINCOLN,2,0.001597444089456869,0.00014926155649146817,0.007780357183901441,2
LINCOLN,2,0.001597444089456869,0.0001494937704819861,0.009243723232276799,2
MENGOLI,2,0.001597444089456869,0.0001724947246682982,0.01753485390601257,2
MENGOLI,2,0.001597444089456869,0.00017067485320610562,0.009154337871555791,2
AGNESI,2,0.001597444089456869,0.00017228561891121302,0.017536130839737155,2
AGNESI,2,0.001597444089456869,0.00017228824835302813,0.009488894507397276,2
POMPONAZZI,2,0.001597444089456869,0.00014441248239188415,0.001200317701110677,2
POMPONAZZI,2,0.001597444089456869,0.000143523758182238,0.0007380676928106077,2
BOMBICCI,2,0.001597444089456869,0.00013902058914209918,0.0002834792868580535,2
BORGO,3,0.0023961661341853034,0.00019244349714561383,0.014837969879687305,2
DANTE,2,0.001597444089456869,0.00018141491991877963,0.010888413869543343,2
DANTE,2,0.001597444089456869,0.000190306488355657,0.005632554659148081,2
PIAZZA TRENTO TRIESTE,2,0.001597444089456869,0.00018053274163204385,0.010731351021419287,2
PIAZZA TRENTO TRIESTE,2,0.001597444089456869,0.00018857669836833254,0.00521372039748393,2
SAVIOLI,2,0.001597444089456869,0.00018102461958535623,0.010823290249589466,2
SAVIOLI,2,0.001597444089456869,0.0001872196664001812,0.004977487658435552,2
MEZZOFANTI,3,0.0023961661341853034,0.00018283445842193934,0.017493992026825823,2
MEZZOFANTI,3,0.0023961661341853034,0.00018825307687590003,0.019413223414878323,2
ALBINI,3,0.0023961661341853034,0.00018086594464413944,0.03206508275807469,2
ALBINI,3,0.0023961661341853034,0.00018307371053647524,0.026189910691255303,2
LARGO LERCARO,3,0.0023961661341853034,0.00017744491586828956,0.03657904347448559,2
LARGO LERCARO,4,0.003194888178913738,0.0001790410945740828,0.0235773042907527,2
ALEMANNI - AGEOP RICERCA,2,0.001597444089456869,0.000180883475597631,0.0076730947510362316,2
ALEMANNI - AGEOP RICERCA,2,0.001597444089456869,0.00018825909005520814,0.015739485089244897,2
LAURA BASSI,2,0.001597444089456869,0.0001742467858132639,0.01788728761399826,2
