Station,Degree,Degree Centrality,Closeness Centrality,Betweenness Centrality,Coreness
St. Paul's,2,0.006644518272425249,8.454992534606996e-05,0.09787375415282393,2
Sudbury Hill,2,0.006644518272425249,4.353274028656588e-05,0.03450719822812846,2
Sudbury Town,2,0.006644518272425249,4.595359158725543e-05,0.03953488372093023,2
Surrey Quays,3,0.009966777408637873,7.002430498545222e-05,0.013266888150609082,1
Swiss Cottage,2,0.006644518272425249,7.321027582555924e-05,0.0007973421926910299,2
Temple,2,0.006644518272425249,8.474164215602182e-05,0.02640088593576966,2
Tooting Bec,2,0.006644518272425249,5.3781005529219354e-05,0.026312292358803988,1
Tooting Broadway,2,0.006644518272425249,5.0811634851911545e-05,0.019800664451827245,1
Tottenham Court Road,4,0.013289036544850499,8.892358633037377e-05,0.10560354374307863,2
Tottenham Hale,2,0.006644518272425249,5.168404298185827e-05,0.013244739756367665,1
Tower Gateway,1,0.0033222591362126247,7.013332971209065e-05,0.0,1
Tower Hill,3,0.009966777408637873,7.967122857575429e-05,0.017918050941306756,2
Tufnell Park,2,0.006644518272425249,6.762729586415568e-05,0.05820598006644519,1
Turnham Green,5,0.016611295681063124,6.335792233689465e-05,0.13105204872646734,2
Turnpike Lane,2,0.006644518272425249,5.455885896503605e-05,0.03920265780730897,1
Upminster,1,0.0033222591362126247,3.0510023988160255e-05,0.0,1
Upminster Bridge,2,0.006644518272425249,3.1623510039008205e-05,0.006644518272425249,1
Upney,2,0.006644518272425249,4.467592244965174e-05,0.04558139534883721,1
Upton Park,2,0.006644518272425249,5.581346588106944e-05,0.06445182724252492,1
Uxbridge,1,0.0033222591362126247,3.138812442016504e-05,0.0,1
Vauxhall,2,0.006644518272425249,7.492861857586994e-05,0.03955703211517165,2
Victoria,4,0.013289036544850499,8.520006265239615e-05,0.14726467331118495,2
Walthamstow Central,1,0.0033222591362126247,4.5140656171273544e-05,0.0,1
Wanstead,2,0.006644518272425249,4.884715318427371e-05,0.038183831672203766,2
Wapping,2,0.006644518272425249,7.294209939652684e-05,0.005692137320044297,2
Warren Street,3,0.009966777408637873,8.60616338568666e-05,0.10631229235880399,2
Warwick Avenue,2,0.006644518272425249,7.514739674999579e-05,0.07681063122923588,1
Waterloo,6,0.019933554817275746,8.681828130387617e-05,0.14589147286821708,2
Wembley Central,2,0.006644518272425249,4.50588190782377e-05,0.026312292358803988,1
Wembley Park,4,0.013289036544850499,5.1880041059542185e-05,0.13946843853820598,2
Westbourne Park,2,0.006644518272425249,7.254225419830967e-05,0.016965669988925805,2
Westferry,3,0.009966777408637873,6.994917666874142e-05,0.11574750830564785,2
Westminster,4,0.013289036544850499,8.672239568386794e-05,0.10651162790697676,2
West Acton,2,0.006644518272425249,5.69581303228433e-05,0.015548172757475083,2
West Brompton,2,0.006644518272425249,7.268540139584473e-05,0.04558139534883721,1
